text,sentiment
"RT @P3n99u94t: KARYA ANIES BASWEDAN DALAM MEMBANGUN SEKOLAH YANG BERSTANDAR GLOBAL....‼️

#RakyatOgahDijajahRRC 
#RakyatOgahDijajahRRC 
🆘🆗…",
"RT @Relawananies: Anies Baswedan ke Jember Jatim: Perkuat Misi Keumatan dan Kebangsaan

https://t.co/XpFnoqQk8G",
RT @kba_news: Pertemuan dan Wasiat Imam Besar Masjidil Haram untuk Anies Baswedan Kembali Viral https://t.co/AhxWhMLZzU,
"RT @P3n99u94t: KARYA ANIES BASWEDAN DALAM MEMBANGUN SEKOLAH YANG BERSTANDAR GLOBAL....‼️

#RakyatOgahDijajahRRC 
#RakyatOgahDijajahRRC 
🆘🆗…",
"RT @geloraco: Diserang Rasis oleh Relawan Ganjar, Anies Unggah Surat dari Buya Hamka ke Kakeknya AR Baswedan
https://t.co/EUuB1B8nwT",
"RT @DiktatorDungu__: Jokowi    : Orde Kehancuran NKRI
Anies       : Orde Perubahan NKRI

Jok0w1 &amp; Oligarki malapetaka bagi rakyat RI.

Saat…",
"RT @NarasiNewsroom: Dalam beberapa kegiatan penting Partai Demokrat, seperti saat deklarasi dukungan ke Anies Baswedan Maret lalu, SBY memi…",
"RT @P3n99u94t: TINGGINYA HARAPAN ANAK MUDA TERHADAP ANIES BASWEDAN MENUJU TAHUN 2024...‼️

#BoikotProdukOligarki
#BoikotProdukOligarki
🆘🆗 h…",
"RT @AbdulRachimmks: Pak Anies Baswedan Memiliki Hak Politik yang Sama Seperti AHOK karena sama-sama sebagai WNI Asli, tapi kenapa sekarang…",
"RT @MichelAdam7__: Yang ingin hidup sejahtera, sila pilih Anies Baswedan. 

""Kita inginkan pertumbuhan ekonomi yang berkualitas, bukan hany…",
"RT @Jatayu_45: GEMPAR....‼️

PARADE DI SEMARANG MEMANGGIL ANIES BASWEDAN UNTUK PRESIDEN 2024

#RakyatOgahDijajahRRC
#RakyatOgahDijajahRRC
🆘…",
